Date,Funding Rate,Prime Rate,Retail Rate,Sub-prime Rate
2019-01-01,1.49,2.7,4.69,7.77
2019-01-02,1.84,2.82,4.64,8.06
2019-01-03,1.69,2.92,4.61,8.08
2019-01-04,1.57,3.01,4.7,8.04
2019-01-05,1.3,2.94,5.05,7.95
2019-01-06,1.13,2.78,5.2,7.84
2019-01-07,1.03,2.67,5.3,7.78
2019-01-08,1.05,2.51,5.36,7.85
2019-01-09,1.22,2.52,5.31,8.1
2019-01-10,1.22,2.56,5.36,8.2
2019-01-11,1.1,2.61,5.45,8.21
2019-01-12,0.98,2.62,5.47,8.26
2019-01-13,0.9,2.64,5.5,8.16
2019-01-14,0.87,2.63,5.41,8.1
2019-01-15,0.82,2.58,5.32,7.95
2019-01-16,0.87,2.6,5.24,7.75
2019-01-17,0.9,2.68,5.17,7.63
2019-01-18,0.96,2.74,5.16,7.53
2019-01-19,1.01,2.85,5.14,7.65
2019-01-20,1.06,2.97,5.17,7.73
2019-01-21,1.07,3.07,5.19,7.83
2019-01-22,1.08,3.18,5.19,8.0
2019-01-23,1.08,3.22,5.18,8.23
2019-01-24,1.0,3.22,5.13,8.39
2019-01-25,0.93,3.22,5.15,8.47
2019-01-26,0.84,3.2,5.21,8.48
2019-01-27,0.82,3.21,5.28,8.44
2019-01-28,0.79,3.2,5.33,8.31
2019-01-29,0.75,3.14,5.34,8.21
2019-01-30,0.75,3.09,5.3,8.13
2019-01-31,0.75,3.09,5.27,8.09
2019-02-01,0.75,3.05,5.28,8.16
2019-02-02,0.73,3.0,5.29,8.16
2019-02-03,0.73,2.92,5.31,8.07
2019-02-04,0.76,2.91,5.4,7.91
2019-02-05,0.75,2.92,5.51,7.77
2019-02-06,0.73,2.95,5.56,7.58
2019-02-07,0.72,2.98,5.61,7.43
2019-02-08,0.74,3.03,5.58,7.36
2019-02-09,0.76,3.06,5.57,7.29
2019-02-10,0.77,3.07,5.52,7.24
2019-02-11,0.74,3.02,5.43,7.29
2019-02-12,0.68,2.97,5.36,7.46
2019-02-13,0.65,2.93,5.34,7.57
2019-02-14,0.62,2.9,5.27,7.51
2019-02-15,0.6,2.82,5.22,7.46
2019-02-16,0.63,2.8,5.17,7.49
2019-02-17,0.62,2.83,5.21,7.61
2019-02-18,0.62,2.88,5.3,7.78
2019-02-19,0.63,2.92,5.41,7.99
2019-02-20,0.67,2.93,5.49,8.08
2019-02-21,0.71,2.95,5.51,8.08
2019-02-22,0.73,2.97,5.52,7.96
2019-02-23,0.73,2.96,5.47,7.83
2019-02-24,0.73,2.97,5.42,7.84
2019-02-25,0.71,2.96,5.39,7.96
2019-02-26,0.71,2.94,5.35,8.1
2019-02-27,0.7,2.91,5.32,8.11
2019-02-28,0.69,2.93,5.35,8.03
2019-03-01,0.72,2.93,5.36,8.01
2019-03-02,0.74,2.95,5.37,7.96
2019-03-03,0.76,2.95,5.39,7.97
2019-03-04,0.74,2.99,5.39,7.9
2019-03-05,0.72,2.98,5.37,7.83
2019-03-06,0.68,2.98,5.34,7.86
2019-03-07,0.66,2.97,5.31,7.87
2019-03-08,0.65,2.99,5.29,7.88
2019-03-09,0.65,3.0,5.28,7.81
2019-03-10,0.64,3.01,5.3,7.77
2019-03-11,0.62,3.04,5.28,7.65
2019-03-12,0.63,3.05,5.22,7.54
2019-03-13,0.63,3.03,5.18,7.47
2019-03-14,0.63,2.99,5.15,7.44
2019-03-15,0.66,2.98,5.12,7.48
2019-03-16,0.68,2.97,5.1,7.56
2019-03-17,0.67,2.98,5.07,7.71
2019-03-18,0.69,2.99,5.04,7.79
2019-03-19,0.68,2.98,5.02,7.87
2019-03-20,0.65,2.99,5.08,7.9
2019-03-21,0.63,3.02,5.13,7.83
2019-03-22,0.62,3.04,5.16,7.81
2019-03-23,0.6,3.04,5.17,7.72
2019-03-24,0.6,3.01,5.17,7.69
2019-03-25,0.63,2.97,5.16,7.72
2019-03-26,0.69,2.92,5.13,7.73
2019-03-27,0.7,2.9,5.15,7.74
2019-03-28,0.71,2.92,5.15,7.81
2019-03-29,0.72,2.91,5.14,7.76
2019-03-30,0.75,2.95,5.09,7.73
2019-03-31,0.77,2.99,5.03,7.71
2019-04-01,0.77,3.01,4.95,7.78
2019-04-02,0.76,3.05,4.89,7.77
2019-04-03,0.78,3.08,4.83,7.71
2019-04-04,0.82,3.13,4.81,7.73
2019-04-05,0.84,3.16,4.83,7.73
2019-04-06,0.84,3.2,4.88,7.63
2019-04-07,0.81,3.25,4.88,7.65
2019-04-08,0.79,3.26,4.87,7.76
2019-04-09,0.81,3.26,4.88,7.97
2019-04-10,0.84,3.23,4.91,8.12
2019-04-11,0.84,3.17,4.92,8.22
2019-04-12,0.85,3.12,4.98,8.23
2019-04-13,0.86,3.08,5.0,8.18
2019-04-14,0.88,3.04,5.01,8.04
2019-04-15,0.92,3.0,5.04,7.91
2019-04-16,0.97,2.97,5.11,7.81
2019-04-17,1.0,2.95,5.16,7.74
2019-04-18,1.02,2.96,5.2,7.79
2019-04-19,1.04,3.0,5.17,7.84
2019-04-20,1.06,3.05,5.1,7.91
2019-04-21,1.07,3.06,5.08,8.0
2019-04-22,1.07,3.08,5.09,8.09
2019-04-23,1.09,3.07,5.11,8.08
2019-04-24,1.11,3.07,5.13,8.0
2019-04-25,1.12,3.04,5.19,7.81
2019-04-26,1.12,3.04,5.19,7.68
2019-04-27,1.13,3.05,5.17,7.63
2019-04-28,1.13,3.06,5.14,7.54
2019-04-29,1.11,3.05,5.13,7.38
2019-04-30,1.09,3.05,5.14,7.22
2019-05-01,1.09,3.05,5.19,7.13
2019-05-02,1.11,3.06,5.25,7.26
2019-05-03,1.11,3.06,5.31,7.37
2019-05-04,1.12,3.07,5.39,7.37
2019-05-05,1.11,3.07,5.45,7.25
2019-05-06,1.11,3.07,5.47,7.21
2019-05-07,1.14,3.05,5.48,7.12
2019-05-08,1.17,3.06,5.5,7.06
2019-05-09,1.21,3.07,5.55,7.04
2019-05-10,1.23,3.08,5.59,7.02
2019-05-11,1.25,3.09,5.62,7.0
2019-05-12,1.28,3.09,5.65,6.98
2019-05-13,1.27,3.08,5.68,6.94
2019-05-14,1.23,3.07,5.71,6.93
2019-05-15,1.2,3.06,5.7,7.02
2019-05-16,1.17,3.04,5.69,7.07
2019-05-17,1.16,3.04,5.67,7.03
2019-05-18,1.17,3.05,5.7,7.1
2019-05-19,1.18,3.04,5.72,7.12
2019-05-20,1.19,3.03,5.68,7.14
2019-05-21,1.19,3.02,5.62,7.21
2019-05-22,1.2,2.99,5.54,7.34
2019-05-23,1.21,2.99,5.47,7.56
2019-05-24,1.23,2.99,5.44,7.76
2019-05-25,1.22,2.95,5.42,7.92
2019-05-26,1.2,2.92,5.38,8.18
2019-05-27,1.2,2.88,5.29,8.53
2019-05-28,1.2,2.85,5.18,8.82
2019-05-29,1.21,2.86,5.13,8.99
2019-05-30,1.21,2.88,5.08,9.06
2019-05-31,1.21,2.91,5.05,8.96
2019-06-01,1.21,2.94,4.99,8.85
2019-06-02,1.22,2.96,4.94,8.84
2019-06-03,1.23,2.95,4.88,8.85
2019-06-04,1.21,2.99,4.82,8.85
2019-06-05,1.22,3.03,4.73,8.9
2019-06-06,1.21,3.07,4.64,8.95
2019-06-07,1.21,3.09,4.55,9.03
2019-06-08,1.22,3.1,4.45,9.09
2019-06-09,1.24,3.11,4.34,9.11
2019-06-10,1.28,3.14,4.26,9.05
2019-06-11,1.3,3.17,4.21,8.98
2019-06-12,1.29,3.21,4.24,8.83
2019-06-13,1.26,3.26,4.31,8.61
2019-06-14,1.25,3.29,4.37,8.35
2019-06-15,1.25,3.32,4.41,8.14
2019-06-16,1.24,3.31,4.4,8.03
2019-06-17,1.23,3.29,4.35,7.96
2019-06-18,1.22,3.25,4.34,7.83
2019-06-19,1.23,3.22,4.29,7.77
2019-06-20,1.24,3.21,4.22,7.78
2019-06-21,1.21,3.2,4.15,7.76
2019-06-22,1.18,3.21,4.09,7.74
2019-06-23,1.16,3.22,4.05,7.77
2019-06-24,1.15,3.23,4.08,7.81
2019-06-25,1.15,3.24,4.15,7.87
2019-06-26,1.15,3.21,4.24,7.79
2019-06-27,1.14,3.18,4.34,7.71
2019-06-28,1.13,3.18,4.39,7.65
2019-06-29,1.13,3.2,4.43,7.74
2019-06-30,1.15,3.2,4.5,7.9
2019-07-01,1.16,3.19,4.52,8.05
2019-07-02,1.17,3.17,4.54,8.14
2019-07-03,1.18,3.18,4.6,8.22
2019-07-04,1.21,3.19,4.68,8.2
2019-07-05,1.22,3.2,4.71,8.08
2019-07-06,1.24,3.18,4.67,7.96
2019-07-07,1.25,3.19,4.62,7.88
2019-07-08,1.25,3.2,4.61,7.8
2019-07-09,1.24,3.21,4.59,7.66
2019-07-10,1.23,3.22,4.63,7.61
2019-07-11,1.18,3.23,4.64,7.63
2019-07-12,1.16,3.25,4.67,7.62
2019-07-13,1.14,3.26,4.72,7.62
2019-07-14,1.15,3.24,4.74,7.56
2019-07-15,1.14,3.21,4.79,7.57
2019-07-16,1.13,3.16,4.88,7.7
2019-07-17,1.13,3.14,4.95,8.0
2019-07-18,1.14,3.13,4.95,8.22
2019-07-19,1.13,3.12,4.97,8.39
2019-07-20,1.13,3.11,4.99,8.49
2019-07-21,1.14,3.11,5.01,8.47
2019-07-22,1.14,3.11,5.04,8.39
2019-07-23,1.15,3.14,5.04,8.4
2019-07-24,1.19,3.16,5.02,8.49
2019-07-25,1.2,3.14,5.06,8.53
2019-07-26,1.18,3.1,5.06,8.55
2019-07-27,1.19,3.08,5.09,8.55
2019-07-28,1.17,3.09,5.09,8.52
2019-07-29,1.15,3.1,5.02,8.42
2019-07-30,1.13,3.1,4.94,8.28
2019-07-31,1.11,3.09,4.92,8.13
2019-08-01,1.1,3.05,4.94,7.88
2019-08-02,1.1,3.02,5.01,7.7
2019-08-03,1.11,3.01,5.14,7.41
2019-08-04,1.11,3.0,5.24,7.23
2019-08-05,1.11,2.99,5.34,7.18
2019-08-06,1.12,2.96,5.44,7.29
2019-08-07,1.12,2.94,5.52,7.32
2019-08-08,1.11,2.95,5.56,7.26
2019-08-09,1.1,2.97,5.59,7.31
2019-08-10,1.1,3.01,5.61,7.48
2019-08-11,1.08,3.06,5.63,7.79
2019-08-12,1.06,3.12,5.64,8.11
2019-08-13,1.06,3.16,5.67,8.28
2019-08-14,1.06,3.18,5.69,8.23
2019-08-15,1.04,3.2,5.73,8.12
2019-08-16,1.02,3.21,5.78,8.19
2019-08-17,1.0,3.21,5.82,8.21
2019-08-18,0.98,3.18,5.84,8.19
2019-08-19,0.96,3.16,5.86,8.13
2019-08-20,0.96,3.15,5.85,8.13
2019-08-21,0.94,3.14,5.8,8.09
2019-08-22,0.94,3.12,5.71,8.06
2019-08-23,0.93,3.12,5.64,8.04
2019-08-24,0.91,3.13,5.62,8.09
2019-08-25,0.89,3.12,5.62,8.15
2019-08-26,0.89,3.09,5.6,8.11
2019-08-27,0.9,3.08,5.59,8.0
2019-08-28,0.91,3.08,5.62,7.91
2019-08-29,0.94,3.06,5.62,7.77
2019-08-30,0.97,3.03,5.61,7.64
2019-08-31,0.99,2.99,5.58,7.57
2019-09-01,1.03,2.97,5.55,7.52
2019-09-02,1.05,2.99,5.5,7.49
2019-09-03,1.05,3.0,5.44,7.5
2019-09-04,1.06,3.03,5.38,7.63
2019-09-05,1.05,3.04,5.37,7.81
2019-09-06,1.03,3.08,5.29,7.97
2019-09-07,1.01,3.11,5.23,8.04
2019-09-08,1.01,3.09,5.23,8.08
2019-09-09,1.01,3.03,5.3,8.04
2019-09-10,1.02,3.02,5.38,8.0
2019-09-11,1.01,3.01,5.48,7.96
2019-09-12,1.0,3.02,5.59,7.87
2019-09-13,0.98,3.01,5.62,7.61
2019-09-14,0.98,3.0,5.62,7.48
2019-09-15,1.0,3.01,5.62,7.51
2019-09-16,1.0,2.97,5.64,7.54
2019-09-17,1.01,2.93,5.63,7.64
2019-09-18,1.01,2.92,5.65,7.65
2019-09-19,1.01,2.95,5.62,7.73
2019-09-20,1.02,2.97,5.63,7.94
2019-09-21,1.03,2.99,5.64,8.2
2019-09-22,1.02,3.03,5.63,8.29
2019-09-23,1.0,3.09,5.67,8.23
2019-09-24,0.98,3.13,5.7,8.07
2019-09-25,0.94,3.12,5.7,7.95
2019-09-26,0.9,3.11,5.74,7.92
2019-09-27,0.88,3.1,5.74,7.86
2019-09-28,0.85,3.09,5.73,7.76
2019-09-29,0.85,3.1,5.68,7.78
2019-09-30,0.84,3.13,5.58,7.93
2019-10-01,0.85,3.17,5.5,7.97
2019-10-02,0.86,3.24,5.43,7.84
2019-10-03,0.84,3.25,5.33,7.67
2019-10-04,0.81,3.27,5.29,7.54
2019-10-05,0.79,3.28,5.26,7.43
2019-10-06,0.78,3.25,5.24,7.3
2019-10-07,0.77,3.23,5.26,7.3
2019-10-08,0.78,3.23,5.32,7.48
2019-10-09,0.8,3.21,5.42,7.55
2019-10-10,0.81,3.17,5.48,7.56
2019-10-11,0.8,3.12,5.48,7.48
2019-10-12,0.8,3.13,5.43,7.37
2019-10-13,0.8,3.11,5.37,7.4
2019-10-14,0.81,3.1,5.31,7.51
2019-10-15,0.81,3.1,5.24,7.6
2019-10-16,0.84,3.1,5.22,7.61
2019-10-17,0.86,3.09,5.21,7.63
2019-10-18,0.86,3.08,5.21,7.59
2019-10-19,0.88,3.05,5.22,7.67
2019-10-20,0.89,3.04,5.21,7.72
2019-10-21,0.9,3.04,5.21,7.7
2019-10-22,0.88,3.05,5.21,7.77
2019-10-23,0.89,3.06,5.2,7.81
2019-10-24,0.92,3.07,5.2,7.87
2019-10-25,0.95,3.11,5.23,7.81
2019-10-26,0.97,3.11,5.22,7.67
2019-10-27,0.95,3.11,5.18,7.6
2019-10-28,0.92,3.09,5.15,7.51
2019-10-29,0.88,3.08,5.13,7.46
2019-10-30,0.83,3.06,5.13,7.45
2019-10-31,0.79,3.04,5.12,7.44
2019-11-01,0.75,3.04,5.11,7.44
2019-11-02,0.74,3.03,5.13,7.48
2019-11-03,0.78,3.04,5.11,7.43
2019-11-04,0.81,3.03,5.12,7.29
2019-11-05,0.84,3.03,5.14,7.29
2019-11-06,0.87,3.02,5.2,7.42
2019-11-07,0.88,3.01,5.28,7.51
2019-11-08,0.9,3.03,5.32,7.61
2019-11-09,0.92,3.03,5.28,7.56
2019-11-10,0.93,3.04,5.23,7.47
2019-11-11,0.93,3.04,5.22,7.39
2019-11-12,0.94,3.02,5.22,7.41
2019-11-13,0.95,2.99,5.24,7.45
2019-11-14,0.96,2.95,5.26,7.33
2019-11-15,0.95,2.97,5.31,7.09
2019-11-16,0.96,3.0,5.32,6.83
2019-11-17,0.96,3.02,5.3,6.63
2019-11-18,0.97,3.02,5.25,6.51
2019-11-19,0.97,3.03,5.25,6.49
2019-11-20,0.95,3.03,5.23,6.57
2019-11-21,0.95,3.04,5.2,6.65
2019-11-22,0.96,3.06,5.11,6.68
2019-11-23,0.98,3.06,5.09,6.7
2019-11-24,0.99,3.06,5.06,6.81
2019-11-25,1.0,3.07,5.05,6.93
2019-11-26,0.98,3.06,5.1,6.97
2019-11-27,0.97,3.03,5.12,6.96
2019-11-28,0.94,3.01,5.14,6.99
2019-11-29,0.91,3.01,5.12,7.12
2019-11-30,0.9,3.01,5.1,7.27
2019-12-01,0.87,3.01,5.11,7.33
2019-12-02,0.83,2.99,5.1,7.32
2019-12-03,0.81,2.97,5.02,7.3
2019-12-04,0.82,2.97,4.97,7.33
2019-12-05,0.84,2.96,4.95,7.4
2019-12-06,0.85,2.93,4.94,7.42
2019-12-07,0.86,2.9,4.95,7.53
2019-12-08,0.85,2.89,4.97,7.54
2019-12-09,0.85,2.91,5.04,7.48
2019-12-10,0.87,2.93,5.08,7.33
2019-12-11,0.88,2.97,5.15,7.24
2019-12-12,0.88,2.99,5.22,7.27
2019-12-13,0.89,3.02,5.23,7.38
2019-12-14,0.91,3.03,5.24,7.49
2019-12-15,0.93,3.02,5.21,7.63
2019-12-16,0.93,3.0,5.22,7.73
2019-12-17,0.92,2.98,5.28,7.91
2019-12-18,0.92,2.96,5.37,7.92
2019-12-19,0.92,2.95,5.43,7.72
2019-12-20,0.9,2.95,5.5,7.64
2019-12-21,0.88,2.92,5.55,7.56
2019-12-22,0.9,2.91,5.58,7.57
2019-12-23,0.92,2.9,5.59,7.67
2019-12-24,0.95,2.91,5.54,7.82
2019-12-25,0.99,2.91,5.49,7.74
2019-12-26,1.02,2.93,5.41,7.67
2019-12-27,1.03,2.93,5.37,7.64
2019-12-28,1.02,2.9,5.31,7.62
2019-12-29,1.01,2.9,5.28,7.59
2019-12-30,1.02,2.94,5.33,7.52
